Drop,Horizontal_Break,Induced_Vertical_Break,Pitch_Type,Pitch_Vel,In_Play,Spin,sword_num,batters::k_percent,batters::bb_percent,batters::woba,batters::xwoba,batters::sweet_spot_percent,batters::barrel_batted_rate,batters::hard_hit_percent,batters::avg_best_speed,batters::avg_hyper_speed,batters::whiff_percent,batters::swing_percent
42,20,0,Sweeper,81.4,0,2915,0,,,,,,,,,,,
45,22,-3,Sweeper,81.5,0,3011,0,,,,,,,,,,,
36,13,5,Splitter,81.8,0,1067,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
13,9,18,4-Seam Fastball,94.5,0,2182,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
11,5,21,4-Seam Fastball,93.3,0,2230,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
53,13,-9,Curveball,78.4,0,2720,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
33,10,9,Splitter,80.6,1,966,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
29,10,12,Splitter,81.4,0,1021,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
19,16,11,Sinker,95.3,1,2190,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
18,16,13,Sinker,94.0,0,2129,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
31,3,5,Cutter,87.0,0,2403,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
12,7,19,4-Seam Fastball,94.4,0,2318,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
31,9,10,Splitter,82.6,0,1201,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
32,7,4,Cutter,86.8,0,2335,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
13,7,18,4-Seam Fastball,93.7,1,2276,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
57,5,-10,Curveball,76.7,0,2740,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
33,4,4,Cutter,85.7,1,2487,0,,,,,,,,,,,
25,16,5,Sinker,95.7,0,2426,0,,,,,,,,,,,
28,16,3,Sinker,93.5,0,2478,0,,,,,,,,,,,
15,7,16,4-Seam Fastball,93.9,0,2665,0,,,,,,,,,,,
31,17,1,Sinker,93.0,0,2463,0,,,,,,,,,,,
16,7,15,4-Seam Fastball,93.8,0,2506,0,,,,,,,,,,,
26,17,5,Sinker,94.1,1,2527,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
14,8,17,4-Seam Fastball,94.2,0,2671,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
28,16,4,Sinker,93.2,0,2422,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
15,7,17,4-Seam Fastball,92.3,0,2534,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
26,17,6,Sinker,93.3,0,2394,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
18,9,14,4-Seam Fastball,92.6,0,2522,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
15,8,16,4-Seam Fastball,93.3,0,2619,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
28,17,4,Sinker,92.1,1,2490,0,,,,,,,,,,,
34,10,7,Splitter,82.1,0,1146,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
37,10,5,Splitter,81.2,0,1019,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
29,5,14,Splitter,80.6,0,891,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
